clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
osm-297647035,43rd Street Concrete Co.,commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-83429417,44 The Mill,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-327484131,446 Painting,commercial_solar,Canonsburg,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-408049267,44a Lumber,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-249580646,4th. Avenue Burner & Heating Supplies,commercial_solar,Ny-Nj Port,NY,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-342401287,56th Street Power Station,commercial_solar,Phoenix,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-329347822,6217,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-845495356,"64"" Pickle Line",commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-252232044,6511 (Sc30),commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-507873919,6969 Building,commercial_solar,Worthington,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-635728734,700,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-635728736,701,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-635728739,702,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-346284097,703,commercial_solar,Miami-Dade,FL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-327462169,704,commercial_solar,Miami-Dade,FL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-635641203,706,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-635641204,707,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-635641205,708,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-43689272,709,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-485964573,710,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-43689289,711,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-43689296,712,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-43689303,714,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-346284111,719,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-855951613,"72"" Line",commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-855467737,7a Line (Legacy),commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-43991644,80 Acres Urban Agriculture,commercial_solar,Cincinnati,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-327462172,805,commercial_solar,Miami-Dade,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-487467560,"84"" Hot Strip Mill",commercial_solar,Cleveland,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-845498301,"84"" Pickle Line",commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-191983530,9012,commercial_solar,Tucson,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-191983527,9016,commercial_solar,Tucson,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-371858411,9018,commercial_solar,Tucson,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-460088390,91 Express Lanes Tolling Facilities,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-390477283,99¢ Only Stores Warehouse,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-305362308,A & A Glass Co Inc,commercial_solar,Aurora,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-686512377,A & S Sprinkler Company,commercial_solar,Nj-Phila Port,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-994893946,A Battery (Legacy),commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-856041568,A Breeze Bunker,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-452381458,A Eastbay Truck Wash,commercial_solar,Oakland,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-856041563,A Furnace,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-856041570,A Furnace Proper,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-856041571,A Furnace Stove Deck,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-856041566,A Hoist House,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1481209685,A-1 Salvage,commercial_solar,San Antonio,TX,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-528963366,A.E. Jones Co Signmakers,commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-856013325,A/C Shop,commercial_solar,St Louis,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-344149978,A&A Associated Ready Mixed Concrete,commercial_solar,Foothill Ranch,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-318093797,A&A Auto Repair,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1202469479,A&A Mower,commercial_solar,Cincinnati,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1086338989,A&M Pallets,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-783089532,A+ Auto Recycling,commercial_solar,Denver,CO,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-834859917,A+ Toyota Used Parts,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1242791627,A+ Transportation,commercial_solar,Charlotte,NC,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-383114729,A1 Parts Mart,commercial_solar,Austin,TX,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-342459505,Aa Gears,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1212565896,Aaa Cooper Transportation,commercial_solar,Nashville,TN,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-209454059,Aabbitt Adhesives,commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-409329125,Aaron Industries,commercial_solar,Lynwood,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-511080697,Ab Grinding Co.,commercial_solar,Cleveland,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-399549713,Ab&I Foundry,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-791841499,Abb,commercial_solar,Charlotte,NC,Director of Facilities,,Electrical building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-467243488,Abc Food Trading,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-465541552,Abc Supply,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-419356444,Abc Supply Co.,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1012131883,Abc Supply Co. Inc.,commercial_solar,Nj-Phila Port,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-204333821,Abc Supply Inc.,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-261102268,Abe'S Customs And Auto Body,commercial_solar,San Francisco,CA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-512398014,Abercrombie & Fitch Distribution Center,commercial_solar,Columbus,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-512398013,Abercrombie & Fitch Distribution Center #2,commercial_solar,Columbus,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-512398055,Abercrombie & Fitch Home Office,commercial_solar,New Albany,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1236222234,Abet Distributing Usa,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1489111769,Abf Freight,commercial_solar,Nashville,TN,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-33264557,Abf Freight,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1231446989,Abilene Motor Express,commercial_solar,Richmond,VA,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-593081411,Able Aerospace,commercial_solar,Mesa,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-162295820,Able Electropolishing,commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-264240294,Abra Auto Body & Glass,commercial_solar,Marietta,GA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-222586361,Abra Auto Body & Glass,commercial_solar,Seattle,WA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-908103569,Abrasive Technology,commercial_solar,Lewis Center,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-186042802,Academy Sports And Outdoors Distribution Center,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-497034555,Access,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-209939120,"Accurate Products, Incorporated",commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-630342199,Accuwright,commercial_solar,Gilbert,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-720414356,Ace Auto,commercial_solar,West Jordan,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1112071166,Ace Intermountain Recycling Center,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-549173350,Ace Midtown Used Auto Parts,commercial_solar,Indianapolis,IN,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-304163736,Ace Self Storage,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-535064127,Achieva Mailing Service,commercial_solar,Pittsburgh,PA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-342593685,Aclara,commercial_solar,Solon,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-279649102,Acme Brooklyn,commercial_solar,Brooklyn,NY,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-125660425,Acme Distribution,commercial_solar,Denver,CO,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-630342224,Acme Metal Works,commercial_solar,Gilbert,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1233478491,Acme Paper & Supply,commercial_solar,Richmond,VA,Director of Facilities,,Paper_processing building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-382983824,Act Aaa Cooper Transportation,commercial_solar,Austin,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-29932013,Action Bearing Company,commercial_solar,Allston,MA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-409300959,Action Diecutting Inc.,commercial_solar,Gardena,CA,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-164461304,Acuity Brands Lighting,commercial_solar,Chicago,IL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1242791637,Adams Beverages,commercial_solar,Charlotte,NC,Director of Facilities,,Soft_drinks building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-295166045,Adams Street Tower #14,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-532070351,Addictive Desert Designs,commercial_solar,Mesa,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-169666981,Adecco Staffing,commercial_solar,Groveport,OH,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-148005733,Adell Corporation,commercial_solar,Sunnyvale,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1432159838,Adesa Sacramento,commercial_solar,Sacramento,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1161462305,"Adesa, Inc.",commercial_solar,Charlotte,NC,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1378068376,Adm,commercial_solar,Mount Holly,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-346694188,Admin,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-325096144,Adobe Data Center,commercial_solar,Hillsboro,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-31300068,Adobe Industrial Park,commercial_solar,Bay Area,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1233478480,Adp Transportation,commercial_solar,Richmond,VA,Director of Facilities,,Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-205677866,Ads,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-388270742,Advance Auto Parts,commercial_solar,Norcross,GA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-423752615,Advance Components,commercial_solar,Dallas-Fw,TX,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-864696799,"Advance Medical Designs, Inc.",commercial_solar,Atlanta,GA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1274267647,Advanced Business Copiers,commercial_solar,Houston,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-799271915,Advanced Circuits,commercial_solar,Denver,CO,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-916894279,Advanced Foundation Repair,commercial_solar,Converse,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-496527450,"Advanced Gas & Welding Solutions, Llc",commercial_solar,Wickliffe,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-246088594,"Advanced Geosciences, Inc.",commercial_solar,Austin,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-216657082,Advanced Heating & Air Conditioning,commercial_solar,Portland,OR,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-593081414,Advanced Material Solutions,commercial_solar,Mesa,AZ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1025013114,Advanced Precision Mfg,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-835823478,Advansix’S Frankford Facility,commercial_solar,Nj-Phila Port,NJ,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1010452755,Advantage Fulfillment,commercial_solar,Lenexa,KS,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-513020530,Advantage Metals Recycling,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-312974588,Advantage Metals Recycling Llc,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-503017248,Advantage Metals Recycling Llc,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-551959322,Advantage Metals Recycling Llc,commercial_solar,Kansas City,MO,Director of Facilities,,Scrap_yard building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1206772192,Advantage Solutions,commercial_solar,Lenexa,KS,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-503017247,Advantange Metals Recycling Llc,commercial_solar,Kansas City,MO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-282190881,Adventhealth Porter Central Plant,commercial_solar,Denver,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-233763179,Aep Ohio,commercial_solar,Columbus,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-525625016,Aeration Tank,commercial_solar,Pittsburgh,PA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-709299423,"Aero Simulation, Inc.",commercial_solar,Tampa,FL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-876612351,Aerocontrolex Group,commercial_solar,Cleveland,OH,Director of Facilities,,Factory building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-45074903,Aes,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-44154336,Aes Corporation,commercial_solar,Los Angeles,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-203688625,Aetna Screw Products Company,commercial_solar,Niles,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1061091877,Afcs Warehouse,commercial_solar,Lenexa,KS,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-33007179,Affiliated Metals,commercial_solar,Salt Lake City,UT,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-452934609,Aggcorp,commercial_solar,Euclid,OH,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-321574542,Aggregate Industries Concrete Plant,commercial_solar,Aurora,CO,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-163500859,Agi Building (Lockheed Building),commercial_solar,Chicago,IL,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-1459303700,Agora Edge,commercial_solar,St. Petersburg,FL,Director of Facilities,,Warehouse building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-118772659,Agua Mansa Commerce Park,commercial_solar,Inland Empire Ca,CA,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
osm-959835352,Agua Vista Station,commercial_solar,San Antonio,TX,Director of Facilities,,Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach.,osm_industrial,seed-osm-industrial
